@旅游类 Le voyage
开场|旅行社|vous|您好，我想安排一个周末旅行，向您了解一下。|Bonjour, j'aimerais organiser un week-end et avoir quelques renseignements.
开场|游客中心|vous|这是我第一次来这里，您能给我一些建议吗？|C'est la première fois que je viens ici. Pourriez-vous me conseiller ?
开场|酒店|vous|我想预订两晚的房间，先确认几个细节。|Je voudrais réserver une chambre pour deux nuits et vérifier quelques détails.
开场|朋友经验|tu|听说你去过魁北克，我想问问你的旅行体验。|J'ai entendu dire que tu avais visité le Québec. J'aimerais te poser quelques questions sur ton séjour.
常用提问|目的地|vous|如果只有三天，您建议优先去哪里？|Si je n'ai que trois jours, quels endroits me conseillez-vous de visiter en priorité ?
常用提问|季节|vous|什么季节去，既能享受好天气又能避开人群？|Quelle saison conseillez-vous pour profiter du beau temps tout en évitant la foule ?
常用提问|预算|vous|两个人住一周，大概需要多少预算？|Quel budget faut-il prévoir pour un séjour d'une semaine à deux ?
常用提问|费用|vous|这个价格具体包含哪些服务？|Quelles prestations sont comprises dans ce prix ?
常用提问|额外费用|vous|有没有需要另外支付的费用？|Y a-t-il des frais à payer en plus ?
常用提问|日期|vous|下个月还有哪些出发日期可选？|Quelles dates de départ sont encore disponibles le mois prochain ?
常用提问|行程|vous|您能给我介绍一下每天的行程吗？|Pourriez-vous me présenter le programme de chaque journée ?
常用提问|节奏|vous|行程中有没有自由活动时间？|Est-ce qu'il y a du temps libre pendant le séjour ?
常用提问|同行人|vous|这个行程适合带小孩的家庭吗？|Ce circuit convient-il aux familles avec de jeunes enfants ?
常用提问|团队|vous|每个团大概有多少人？|Combien de personnes y a-t-il généralement dans un groupe ?
常用提问|语言|vous|导览可以用法语进行吗？|La visite peut-elle se faire en français ?
常用提问|接送|vous|从机场到酒店的接送包含在内吗？|Le transfert de l'aéroport à l'hôtel est-il compris ?
常用提问|住宿位置|vous|酒店离市中心多远？|À quelle distance du centre-ville se trouve l'hôtel ?
常用提问|房型|vous|你们有两张单人床的房间吗？|Avez-vous des chambres avec deux lits séparés ?
常用提问|早餐|vous|房价包含早餐吗？|Le petit-déjeuner est-il inclus dans le prix de la chambre ?
常用提问|入住|vous|最早几点可以办理入住？|À partir de quelle heure peut-on prendre possession de la chambre ?
常用提问|退房|vous|退房后可以把行李寄存在这里吗？|Peut-on laisser nos bagages ici après avoir libéré la chambre ?
常用提问|餐食|vous|如果有人不吃肉，能安排相应的餐食吗？|Pouvez-vous prévoir des repas adaptés pour quelqu'un qui ne mange pas de viande ?
常用提问|预订|vous|需要提前多久预订？|Combien de temps à l'avance faut-il réserver ?
常用提问|付款|vous|预订时需要先付一部分费用吗？|Faut-il verser un acompte au moment de la réservation ?
常用提问|取消|vous|如果我不得不取消，可以退款吗？|Si je dois annuler, est-ce que je peux être remboursé ?
常用提问|改期|vous|出发日期可以更改吗？需要付费吗？|Peut-on modifier la date de départ ? Est-ce payant ?
常用提问|天气|vous|下雨时有没有室内活动可选？|Y a-t-il des activités à l'intérieur en cas de pluie ?
常用提问|体力|vous|这次徒步需要很好的体能吗？|Cette randonnée demande-t-elle une bonne condition physique ?
常用提问|装备|vous|参加这次郊游需要带什么？|Que faut-il apporter pour cette excursion ?
常用提问|无障碍|vous|行动不便的人能参加这个游览吗？|Cette visite est-elle accessible aux personnes à mobilité réduite ?
常用提问|当地出行|vous|不租车的话，在当地出行方便吗？|Est-il facile de se déplacer sur place sans louer de voiture ?
常用提问|预约景点|vous|哪些景点必须提前预约？|Pour quels sites faut-il réserver à l'avance ?
常用提问|朋友经验|tu|你在那边住在哪里？你推荐那个地方吗？|Tu as logé où sur place ? Est-ce que tu recommandes cet endroit ?
常用提问|朋友经验|tu|这次旅行中，你最喜欢什么？|Qu'est-ce qui t'a le plus plu pendant ce voyage ?
常用提问|朋友经验|tu|如果再去一次，你会做哪些不同的安排？|Si tu y retournais, qu'est-ce que tu organiserais autrement ?
常用提问|联系|vous|旅行途中遇到问题，应该联系谁？|Qui faut-il contacter en cas de problème pendant le séjour ?
回应|确认费用|vous|也就是说，住宿包含在内，但餐食不包含，对吗？|Donc, l'hébergement est compris, mais pas les repas, c'est bien ça ?
回应|换方案|vous|这有点超出我的预算，有便宜一些的方案吗？|Cela dépasse un peu mon budget. Avez-vous une formule moins chère ?
回应|追问原因|tu|听起来很不错，你为什么特别推荐这个地方？|Ça a l'air très bien. Pourquoi recommandes-tu cet endroit en particulier ?
回应|澄清|vous|您说“全天游览”，具体是几点到几点？|Quand vous dites « une journée complète », de quelle heure à quelle heure s'agit-il ?
回应|表达偏好|vous|这样的话，我更愿意选择节奏慢一点的行程。|Dans ce cas, je préférerais un programme moins chargé.
回应|换日期|vous|那天我没有空，第二天还有位置吗？|Je ne suis pas disponible ce jour-là. Reste-t-il des places le lendemain ?
收尾|旅行社|vous|谢谢，这些信息能帮我比较不同的方案。|Merci, ces renseignements vont m'aider à comparer les différentes formules.
收尾|酒店|vous|我先和家人确认日期，再联系您预订。|Je vais vérifier les dates avec ma famille, puis je vous recontacterai pour réserver.
收尾|朋友经验|tu|谢谢你的建议，我对这趟旅行更有概念了。|Merci pour tes conseils, j'ai maintenant une idée plus précise du voyage.
@安家类 L'installation
开场|找房|vous|您好，我准备搬到这里，正在找房子。|Bonjour, je prévois de m'installer ici et je cherche un logement.
开场|邻里|vous|我是新搬来的邻居，想向您了解一下这个街区。|Je viens d'emménager dans l'immeuble et j'aimerais vous poser quelques questions sur le quartier.
开场|搬家|tu|我可以帮你搬家，我们先说说怎么安排吧。|Je peux t'aider à déménager. On peut faire le point sur l'organisation ?
开场|生活服务|vous|我想给新家开通网络，了解一下你们的套餐。|Je voudrais faire installer Internet dans mon nouveau logement et connaître vos offres.
常用提问|找房|vous|这个房子从什么时候开始可以入住？|À partir de quand ce logement est-il disponible ?
常用提问|租金|vous|每月租金是多少？|Quel est le montant du loyer mensuel ?
常用提问|费用|vous|暖气和水电费包含在租金里吗？|Le chauffage, l'eau et l'électricité sont-ils compris dans le loyer ?
常用提问|面积|vous|房子面积多大，有几间卧室？|Quelle est la superficie du logement et combien de chambres comporte-t-il ?
常用提问|家具|vous|房子带家具吗？配有哪些家电？|Le logement est-il meublé ? Quels appareils électroménagers sont fournis ?
常用提问|看房|vous|什么时候可以安排看房？|Quand serait-il possible de visiter le logement ?
常用提问|合同|vous|租约的期限是多久？|Quelle est la durée du bail ?
常用提问|材料|vous|申请租下这个房子需要提供哪些材料？|Quels documents faut-il fournir pour louer ce logement ?
常用提问|费用|vous|签约时有哪些款项需要支付？|Quelles sommes faut-il payer au moment de signer le bail ?
常用提问|退租|vous|如果我之后需要搬走，应提前多久通知您？|Si je dois déménager, combien de temps à l'avance dois-je vous prévenir ?
常用提问|养宠|vous|这个房子允许养猫吗？|Est-il permis d'avoir un chat dans ce logement ?
常用提问|洗衣|vous|洗衣机在房子里，还是大楼里有公共洗衣房？|Y a-t-il une machine à laver dans le logement ou une buanderie commune dans l'immeuble ?
